,rank,title,artist,other artists,year,Spotify id,Popularity
157,58,The Way You Look Tonight,The Lettermen,None,1961,3XLSi3aWD9qDCuHvSi5qfY,45
158,59,Moody River,Pat Boone,None,1961,2TEdI0KNrYHo4UPhrt0ais,38
159,60,One Mint Julep,Ray Charles,None,1961,3Pq3nWYY5IBHfFhCdrZgzt,26
160,61,Take Good Care of Her,Adam Wade,None,1961,0XkuWDNnWDOZbGlZFGWMLO,9
161,62,Gee Whiz (Look at His Eyes),Carla Thomas,None,1961,68IngNKFxLJQZvTyzYIKIg,36
162,63,Stand by Me,Ben E. King,None,1961,3SdTKo2uVsxFblQjpScoHy,80
163,64,Spanish Harlem,Ben E. King,None,1961,3UCmuRdeTriWgOZMEJsfqZ,52
164,65,It's Gonna Work Out Fine,Ike,Tina Turner,1961,2vGVafns1VhbbhyIKi5VtL,17
165,66,Baby Blue,The Echoes,None,1961,5Kt64y0teh7Y23o8JHNC8l,24
166,67,Baby Sittin' Boogie,Buzz Clifford,None,1961,06is43MVB1a03zyhtRBLpX,16
167,68,Hats Off to Larry,Del Shannon,None,1961,0Eok7UwcfOhuNxBNnJzeHY,40
168,69,Those Oldies but Goodies,Little Caesar,the Romans,1961,05xGj0TWWNfOF76CzY9woN,25
169,70,The Fly,Chubby Checker,None,1961,63u1aZPkSplzbIdyHGpvrG,29
170,71,(Marie's the Name) His Latest Flame,Elvis Presley,None,1961,4qbLOU1T7xgTH87eUSkvJ1,58
171,72,Wonderland by Night,Bert Kaempfert,None,1961,1xDkYGbHn8BSLVRGFrYeuq,51
172,73,Bless You,Tony Orlando,None,1961,06VKnttgGlIvFhZQgbuQtu,13
173,74,I've Told Every Little Star,Linda Scott,None,1961,5phFsm70tNSJA5Q6PX5VlO,9
174,75,One Track Mind,Bobby Lewis,None,1961,6VFtCu4u6NeANjWZO131Sl,6
175,76,Angel Baby,Rosie,the Originals,1961,71keN33KR0rS5jwKi4JNLE,58
176,77,Pretty Little Angel Eyes,Curtis Lee,None,1961,1EWUFMTwyqAzb1p9KFnt02,39
177,78,Think Twice,Brook Benton,None,1961,3rjOwWd1wgJNvoqskwcPhT,19
178,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,None,1961,353qxXeS9BNjH1RgfdOXxM,28
179,80,Breakin' in a Brand New Broken Heart,Connie Francis,None,1961,4Z2sM6VTcNZZQjpjR267go,21
180,81,Mama Said,The Shirelles,None,1961,5sGeyWYDvUIF7QjERNCY7L,50
181,82,Let the Four Winds Blow,Fats Domino,None,1961,16wsaPpSfcvo9ysLD8BZ4o,33
182,83,The Writing on the Wall,Adam Wade,None,1961,4ECyERuKQUKEhtQGpoKKwi,10
183,84,My Kind of Girl,Matt Monro,None,1961,4otoz66kYmUhJckTRaQVtu,29
184,85,"Tonight My Love, Tonight",Paul Anka,None,1961,0hYEYnKYQt5d0zQdUABH3V,39
185,86,San Antonio Rose,Floyd Cramer,None,1961,0WnESCgrJ4XBxlsnHMECtl,30
186,87,Big Bad John,Jimmy Dean,None,1961,61uAY9xdzYiIbYJ07XvKso,56
187,88,Good Time Baby,Bobby Rydell,None,1961,5Zt2tF219dfVI32VAORqXH,19
188,89,Rubber Ball,Bobby Vee,None,1961,35gkASz2Cb1VryMGIuEPjX,49
189,90,Missing You,Ray Peterson,None,1961,0Z06GCuyB8OoinQQltymO8,14
190,91,Dum Dum,Brenda Lee,None,1961,2amlWbDFBNfQyoHy7mIMnZ,26
191,92,I'm Gonna Knock on Your Door,Eddie Hodges,None,1961,6C5IC9bZ0q6mI16Hay23gB,32
192,93,You Can Depend on Me,Brenda Lee,None,1961,6sEzDVlcfYn2akvtzUitrb,33
193,94,Let's Twist Again,Chubby Checker,None,1961,1INWPr855fwWdAOeecbu0W,69
194,95,Take Five,The Dave Brubeck Quartet,None,1961,1YQWosTIljIvxAgHWTp7KP,69
195,96,Are You Lonesome Tonight?,Elvis Presley,None,1961,6vXZs9rEQF7Nd6O8Ue7NrT,58
196,97,Sea of Heartbreak,Don Gibson,None,1961,0xERMvJD8djz1ZBjPSRLvM,54
197,98,More Money for You and Me,The Four Preps,None,1961,6taOhSWQVW7wd0lj9MX1u9,7
198,99,You Must Have Been a Beautiful Baby,Bobby Darin,None,1961,1ATiocRsFUbrnEFhb5Y4y9,31
199,100,Please Stay,The Drifters,None,1961,6Y3ZRbwgdJzNFkd8knmtha,30
200,1,Stranger on the Shore,Acker Bilk,None,1962,6sZ8qBd2dO4QQq6B6FqVPn,54
201,2,I Can't Stop Loving You,Ray Charles,None,1962,79nJj5dMyTsUzKvN5jUXsJ,66
202,3,Mashed Potato Time,Dee Dee Sharp,None,1962,6jouZcdraQvsbh7SWkLEui,51
