,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
41,42,Mr. Custer,Larry Verne,None,1960,54UFvpOyoqlUu7N09UymMz,17,0.697,0.697,4,-4.863,0,0.0537,0.707,8.72E-05,0.156,0.582,108.5,184.867,4
42,43,I Want to Be Wanted,Brenda Lee,None,1960,3i32qvP2ZwGz7VmOA1XzQD,34,0.546,0.296,7,-13.997,1,0.0315,0.753,0.00355,0.124,0.263,105.649,192.52,3
43,44,Mule Skinner Blues,The Fendermen,None,1960,5KPCpGCjdjvXdsXy89AQSQ,36,0.51,0.592,4,-6.387,1,0.0384,0.814,0,0.0933,0.545,128.876,148.333,4
44,45,Cradle of Love,Johnny Preston,None,1960,0HHYIJBKj6GFchyYjJQ8nf,23,0.48,0.559,6,-7.823,0,0.0658,0.306,3.84E-05,0.0975,0.845,174.119,140.133,4
45,46,You Got What It Takes,Marv Johnson,None,1960,38rz74MI3lV25ZfhABoQv9,20,0.715,0.546,7,-13.647,1,0.0864,0.776,0,0.304,0.957,136.685,159.933,4
46,47,"Please Help Me, I'm Falling",Hank Locklin,None,1960,0dc0eU5THc1uE0Q0KV73XN,51,0.552,0.336,7,-10.712,1,0.0311,0.828,0,0.324,0.553,105.479,141.467,4
47,48,Love You So,Ron Holden,None,1960,75zdGixP4G3VQ5oIk1HzjU,24,0.634,0.275,3,-11.417,1,0.0348,0.89,0.00111,0.137,0.581,127.294,208.04,4
48,49,Finger Poppin' Time,Hank Ballard,The Midnighters,1960,3hkLFVzqOYNrWdkbyuC0L4,33,0.533,0.759,9,-5.199,1,0.0356,0.0735,0,0.315,0.889,159.373,155.2,4
49,50,Harbor Lights,The Platters,None,1960,3bZGw3sNQ1rQoosJzr7G2e,43,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797,194.867,4
50,51,Let the Little Girl Dance,Billy Bland,None,1960,3ClUZFkkKgXjp3XERlQFdd,17,0.583,0.532,5,-9.449,1,0.0784,0.238,0,0.36,0.962,143.872,143.04,4
